Emoji,English,Spanish,French,German,Italian
👨‍❤️‍💋‍👨,"Kiss: Man, Man","Beso: Hombre, Hombre","Baiser : Homme, Homme","Kuss: Mann, Mann","Bacio: Uomo, Uomo"
👩‍❤️‍💋‍👩,"Kiss: Woman, Woman","Beso: Mujer, Mujer","Baiser : Femme, Femme","Kuss: Frau, Frau","Bacio: Donna, Donna"
💑,"Couple With Heart","Pareja con corazón","Couple avec cœur","Paar mit Herz","Coppie con cuore"
👨‍❤️‍👨,"Couple With Heart: Man, Man","Pareja con corazón: Hombre, Hombre","Couple avec cœur : Homme, Homme","Paar mit Herz: Mann, Mann","Coppie con cuore: Uomo, Uomo"
👩‍❤️‍👩,"Couple With Heart: Woman, Woman","Pareja con corazón: Mujer, Mujer","Couple avec cœur : Femme, Femme","Paar mit Herz: Frau, Frau","Coppie con cuore: Donna, Donna"
👪,"Family","Familia","Famille","Familie","Famiglia"
👨‍👩‍👦,"Family: Man, Woman, Boy","Familia: Hombre, Mujer, Niño","Famille : Homme, Femme, Garçon","Familie: Mann, Frau, Junge","Famiglia: Uomo, Donna, Ragazzo"
👨‍👩‍👧,"Family: Man, Woman, Girl","Familia: Hombre, Mujer, Niña","Famille : Homme, Femme, Fille","Familie: Mann, Frau, Mädchen","Famiglia: Uomo, Donna, Ragazza"
👨‍👩‍👧‍👦,"Family: Man, Woman, Girl, Boy","Familia: Hombre, Mujer, Niña, Niño","Famille : Homme, Femme, Fille, Garçon","Familie: Mann, Frau, Mädchen, Junge","Famiglia: Uomo, Donna, Ragazza, Ragazzo"
👨‍👩‍👦‍👦,"Family: Man, Woman, Boy, Boy","Familia: Hombre, Mujer, Niño, Niño","Famille : Homme, Femme, Garçon, Garçon","Familie: Mann, Frau, Junge, Junge","Famiglia: Uomo, Donna, Ragazzo, Ragazzo"
👨‍👩‍👧‍👧,"Family: Man, Woman, Girl, Girl","Familia: Hombre, Mujer, Niña, Niña","Famille : Homme, Femme, Fille, Fille","Familie: Mann, Frau, Mädchen, Mädchen","Famiglia: Uomo, Donna, Ragazza, Ragazza"
👨‍👨‍👦,"Family: Man, Man, Boy","Familia: Hombre, Hombre, Niño","Famille : Homme, Homme, Garçon","Familie: Mann, Mann, Junge","Famiglia: Uomo, Uomo, Ragazzo"
👨‍👨‍👧,"Family: Man, Man, Girl","Familia: Hombre, Hombre, Niña","Famille : Homme, Homme, Fille","Familie: Mann, Mann, Mädchen","Famiglia: Uomo, Uomo, Ragazza"
👨‍👨‍👧‍👦,"Family: Man, Man, Girl, Boy","Familia: Hombre, Hombre, Niña, Niño","Famille : Homme, Homme, Fille, Garçon","Familie: Mann, Mann, Mädchen, Junge","Famiglia: Uomo, Uomo, Ragazza, Ragazzo"
👨‍👨‍👦‍👦,"Family: Man, Man, Boy, Boy","Familia: Hombre, Hombre, Niño, Niño","Famille : Homme, Homme, Garçon, Garçon","Familie: Mann, Mann, Junge, Junge","Famiglia: Uomo, Uomo, Ragazzo, Ragazzo"
👨‍👨‍👧‍👧,"Family: Man, Man, Girl, Girl","Familia: Hombre, Hombre, Niña, Niña","Famille : Homme, Homme, Fille, Fille","Familie: Mann, Mann, Mädchen, Mädchen","Famiglia: Uomo, Uomo, Ragazza, Ragazza"
👩‍👩‍👦,"Family: Woman, Woman, Boy","Familia: Mujer, Mujer, Niño","Famille : Femme, Femme, Garçon","Familie: Frau, Frau, Junge","Famiglia: Donna, Donna, Ragazzo"
👩‍👩‍👧,"Family: Woman, Woman, Girl","Familia: Mujer, Mujer, Niña","Famille : Femme, Femme, Fille","Familie: Frau, Frau, Mädchen","Famiglia: Donna, Donna, Ragazza"
👩‍👩‍👧‍👦,"Family: Woman, Woman, Girl, Boy","Familia: Mujer, Mujer, Niña, Niño","Famille : Femme, Femme, Fille, Garçon","Familie: Frau, Frau, Mädchen, Junge","Famiglia: Donna, Donna, Ragazza, Ragazzo"
👩‍👩‍👦‍👦,"Family: Woman, Woman, Boy, Boy","Familia: Mujer, Mujer, Niño, Niño","Famille : Femme, Femme, Garçon, Garçon","Familie: Frau, Frau, Junge, Junge","Famiglia: Donna, Donna, Ragazzo, Ragazzo"
👩‍👩‍👧‍👧,"Family: Woman, Woman, Girl, Girl","Familia: Mujer, Mujer, Niña, Niña","Famille : Femme, Femme, Fille, Fille","Familie: Frau, Frau, Mädchen, Mädchen","Famiglia: Donna, Donna, Ragazza, Ragazza"
👨‍👦,"Family: Man, Boy","Familia: Hombre, Niño","Famille : Homme, Garçon","Familie: Mann, Junge","Famiglia: Uomo, Ragazzo"
👨‍👦‍👦,"Family: Man, Boy, Boy","Familia: Hombre, Niño, Niño","Famille : Homme, Garçon, Garçon","Familie: Mann, Junge, Junge","Famiglia: Uomo, Ragazzo, Ragazzo"
👨‍👧,"Family: Man, Girl","Familia: Hombre, Niña","Famille : Homme, Fille","Familie: Mann, Mädchen","Famiglia: Uomo, Ragazza"
👨‍👧‍👦,"Family: Man, Girl, Boy","Familia: Hombre, Niña, Niño","Famille : Homme, Fille, Garçon","Familie: Mann, Mädchen, Junge","Famiglia: Uomo, Ragazza, Ragazzo"
👨‍👧‍👧,"Family: Man, Girl, Girl","Familia: Hombre, Niña, Niña","Famille : Homme, Fille, Fille","Familie: Mann, Mädchen, Mädchen","Famiglia: Uomo, Ragazza, Ragazza"
👩‍👦,"Family: Woman, Boy","Familia: Mujer, Niño","Famille : Femme, Garçon","Familie: Frau, Junge","Famiglia: Donna, Ragazzo"
👩‍👦‍👦,"Family: Woman, Boy, Boy","Familia: Mujer, Niño, Niño","Famille : Femme, Garçon, Garçon","Familie: Frau, Junge, Junge","Famiglia: Donna, Ragazzo, Ragazzo"
👩‍👧,"Family: Woman, Girl","Familia: Mujer, Niña","Famille : Femme, Fille","Familie: Frau, Mädchen","Famiglia: Donna, Ragazza"
👩‍👧‍👦,"Family: Woman, Girl, Boy","Familia: Mujer, Niña, Niño","Famille : Femme, Fille, Garçon","Familie: Frau, Mädchen, Junge","Famiglia: Donna, Ragazza, Ragazzo"
👩‍👧‍👧,"Family: Woman, Girl, Girl","Familia: Mujer, Niña, Niña","Famille : Femme, Fille, Fille","Familie: Frau, Mädchen, Mädchen","Famiglia: Donna, Ragazza, Ragazza"
🤳,"Selfie","Autofoto","Selfie","Selfie","Selfie"
💪,"Flexed Biceps","Bíceps flexionado","Biceps flexionné","Angespannter Bizeps","Bicipite flesso"
👉,"Backhand Index Pointing Left","Índice apuntando hacia la izquierda","Index pointant vers la gauche","Zeigefinger nach links","Indice che punta a sinistra"
👈,"Backhand Index Pointing Right","Índice apuntando hacia la derecha","Index pointant vers la droite","Zeigefinger nach rechts","Indice che punta a destra"
☝,"Index Pointing Up","Índice apuntando hacia arriba","Index pointant vers le haut","Zeigefinger nach oben","Indice che punta in alto"
👆,"Backhand Index Pointing Up","Índice apuntando hacia arriba (reverso)","Index pointant vers le haut (revers)","Zeigefinger nach oben (Rückseite)","Indice che punta in alto (rovescio)"
🖕,"Middle Finger","Dedo medio","Doigt d'honneur","Mittelfinger","Dito medio"
👇,"Backhand Index Pointing Down","Índice apuntando hacia abajo (reverso)","Index pointant vers le bas (revers)","Zeigefinger nach unten (Rückseite)","Indice che punta in basso (rovescio)"
✌,"Victory Hand","Mano en V","Signe de la victoire","Siegeszeichen","Segno di vittoria"
🤞,"Crossed Fingers","Dedos cruzados","Doigts croisés","Gekreuzte Finger","Dita incrociate"
🖖,"Vulcan Salute","Saludo vulcano","Salut vulcain","Vulkanischer Gruß","Saluto vulcaniano"
🤘,"Sign of the Horns","Señal de los cuernos","Signe des cornes","Zeichen der Hörner","Segno delle corna"
🖐,"Hand With Fingers Splayed","Mano con dedos extendidos","Main avec les doigts écartés","Hand mit gespreizten Fingern","Mano con le dita aperte"
✋,"Raised Hand","Mano levantada","Main levée","Erhobene Hand","Mano alzata"
👌,"OK Hand","Mano en OK","Main OK","OK-Hand","Mano OK"
👍,"Thumbs Up","Pulgar hacia arriba","Pouce en l'air","Daumen hoch","Pollice in su"
👎,"Thumbs Down","Pulgar hacia abajo","Pouce vers le bas","Daumen runter","Pollice verso"
✊,"Raised Fist","Puño en alto","Poing levé","Erhobene Faust","Pugno alzato"
👊,"Oncoming Fist","Puño hacia adelante","Poing en avant","Faust nach vorne","Pugno in avanti"
🤛,"Left-Facing Fist","Puño hacia la izquierda","Poing vers la gauche","Faust nach links","Pugno verso sinistra"
🤜,"Right-Facing Fist","Puño hacia la derecha","Poing vers la droite","Faust nach rechts","Pugno verso destra"
🤚,"Raised Back of Hand","Dorso de la mano levantado","Dos de la main levé","Handrücken erhoben","Dorso della mano alzato"
👋,"Waving Hand","Mano saludando","Main saluant","Winkende Hand","Mano che saluta"
🤟,"Love-You Gesture","Gesto de te quiero","Geste je t'aime","Ich-liebe-dich-Geste","Gesto ti amo"
✍,"Writing Hand","Mano escribiendo","Main écrivant","Schreibende Hand","Mano che scrive"
👏,"Clapping Hands","Manos aplaudiendo","Mains applaudissant","Klatschen","Mani che applaudono"
👐,"Open Hands","Manos abiertas","Mains ouvertes","Offene Hände","Mani aperte"
🙌,"Raising Hands","Manos levantadas","Mains levées","Erhebende Hände","Mani alzate"
🤲,"Palms Up Together","Palmas hacia arriba juntas","Paumes vers le haut ensemble","Handflächen nach oben zusammen","Palmi uniti verso l'alto"
🙏,"Folded Hands","Manos juntas","Mains jointes","Gefaltete Hände","Mani giunte"
🤝,"Handshake","Apretón de manos","Poignée de main","Händedruck","Stretta di mano"
💅,"Nail Polish","Esmalte de uñas","Vernis à ongles","Nagellack","Smalti"
👂,"Ear","Oreja","Oreille","Ohr","Orecchio"
👃,"Nose","Nariz","Nez","Nase","Naso"
👣,"Footprints","Huellas","Empreintes","Fußabdrücke","Impronte"
👀,"Eyes","Ojos","Yeux","Augen","Occhi"
👁,"Eye","Ojo","Œil","Auge","Occhio"
🧠,"Brain","Cerebro","Cerveau","Gehirn","Cervello"
👅,"Tongue","Lengua","Langue","Zunge","Lingua"
👄,"Mouth","Boca","Bouche","Mund","Bocca"
💋,"Kiss Mark","Marca de beso","Marque de baiser","Kussabdruck","Impronta di bacio"
👓,"Glasses","Gafas","Lunettes","Brille","Occhiali"
🕶,"Sunglasses","Gafas de sol","Lunettes de soleil","Sonnenbrille","Occhiali da sole"
👔,"Necktie","Corbata","Cravate","Krawatte","Cravatta"
👕,"T-Shirt","Camiseta","T-shirt","T-Shirt","Maglietta"
👖,"Jeans","Vaqueros","Jeans","Jeans","Jeans"
🧣,"Scarf","Bufanda","Écharpe","Schal","Scarpa"
🧤,"Gloves","Guantes","Gants","Handschuhe","Guanti"
🧥,"Coat","Abrigo","Manteau","Mantel","Cappotto"
🧦,"Socks","Calcetines","Chaussettes","Socken","Calzini"
👗,"Dress","Vestido","Robe","Kleid","Vestito"
👘,"Kimono","Quimono","Kimono","Kimono","Kimono"
👙,"Bikini","Bikini","Bikini","Bikini","Bikini"
👚,"Woman’s Clothes","Ropa de mujer","Vêtements de femme","Frauenkleidung","Abbigliamento da donna"
👛,"Purse","Monedero","Porte-monnaie","Geldbörse","Borsellino"
👜,"Handbag","Bolso","Sac à main","Handtasche","Borsa"
👝,"Clutch Bag","Bolso de mano","Pochette","Clutch","Borsa a mano"
🎒,"School Backpack","Mochila escolar","Sac à dos scolaire","Schulranzen","Zaino scolastico"
👞,"Man’s Shoe","Zapato de hombre","Chaussure d'homme","Herrenschuh","Scarpa da uomo"
👟,"Running Shoe","Zapato de correr","Chaussure de course","Laufschuh","Scarpa da corsa"
👠,"High-Heeled Shoe","Zapato de tacón","Chaussure à talon haut","Hoher Absatz","Tacco alto"
👡,"Woman’s Sandal","Sandalia de mujer","Sandale de femme","Frauensandale","Sandalo da donna"
👢,"Woman’s Boot","Bota de mujer","Botte de femme","Frauenstiefel","Stivale da donna"
👑,"Crown","Corona","Couronne","Krone","Corona"
👒,"Woman’s Hat","Sombrero de mujer","Chapeau de femme","Frauenhut","Cappello da donna"
🎩,"Top Hat","Sombrero de copa","Haut-de-forme","Zylinder","Cilindro"
🎓,"Graduation Cap","Birrete de graduación","Casquette de diplômé","Abschlusskappe","Berretto da laurea"
🧢,"Billed Cap","Gorra con visera","Casquette à visière","Schirmmütze","Berretto con visiera"
⛑,"Rescue Worker’s Helmet","Casco de trabajador de rescate","Casque de travailleur de sauvetage","Rettungshelms","Casco da soccorritore"
💄,"Lipstick","Lápiz labial","Rouge à lèvres","Lippenstift","Rossetto"
💍,"Ring","Anillo","Bague","Ring","Anello"
🌂,"Closed Umbrella","Paraguas cerrado","Parapluie fermé","Geschlossener Regenschirm","Ombrello chiuso"
☂,"Umbrella","Paraguas","Parapluie","Regenschirm","Ombrello"
💼,"Briefcase","Maletín","Malette","Aktentasche","Portadocumenti"
🛍,"Shopping Bags","Bolsas de compras","Sacs de courses","Einkaufstaschen","Borse della spesa"
📿,"Prayer Beads","Cuentas de oración","Chapelet","Gebetskette","Rosario"
💎,"Gem Stone","Gema","Pierre précieuse","Edelstein","Gemma"
🔪,"Kitchen Knife","Cuchillo de cocina","Couteau de cuisine","Küchenmesser","Coltello da cucina"
🏺,"Amphora","Ánfora","Amphore","Amphore","Anfora"
🗺,"World Map","Mapa del mundo","Carte du monde","Weltkarte","Mappa del mondo"
💈,"Barber Pole","Poste de barbero","Poteau de barbier","Barbierstange","Paletto da barbiere"
🛢,"Oil Drum","Barril de petróleo","Fût de pétrole","Ölfass","Barile di petrolio"
🛎,"Bellhop Bell","Campana de botones","Sonnette de réception","Glocke des Hotelpagen","Campanello del portiere"
⌛,"Hourglass Done","Reloj de arena terminado","Sablier terminé","Abgelaufene Sanduhr","Clessidra finita"
⏳,"Hourglass Not Done","Reloj de arena no terminado","Sablier non terminé","Nicht abgelaufene Sanduhr","Clessidra non finita"
⌚,"Watch","Reloj","Montre","Uhr","Orologio"
⏰,"Alarm Clock","Reloj despertador","Réveil","Wecker","Sveglia"
⏱,"Stopwatch","Cronómetro","Chronomètre","Stoppuhr","Cronometro"
⏲,"Timer Clock","Reloj temporizador","Horloge de minuterie","Zeitschalter","Orologio timer"
🕰,"Mantelpiece Clock","Reloj de chimenea","Horloge de cheminée","Kaminuhr","Orologio da camino"
🌡,"Thermometer","Termómetro","Thermomètre","Thermometer","Termometro"
⛱,"Umbrella on Ground","Paraguas en el suelo","Parapluie au sol","Regenschirm am Boden","Ombrellone a terra"
🎈,"Balloon","Globo","Ballon","Luftballon","Palloncino"
🎉,"Party Popper","Tirador de fiesta","Pétard de fête","Partyknaller","Scacciapensieri"
🎊,"Confetti Ball","Bola de confeti","Boule de confettis","Konfettiball","Palla di coriandoli"
🎎,"Japanese Dolls","Muñecas japonesas","Poupées japonaises","Japanische Puppen","Bambole giapponesi"
🎏,"Carp Streamer","Bandera de carpa","Bannière de carpe","Karpfenfahne","Bandiera a forma di carpa"
🎐,"Wind Chime","Campana de viento","Carillon","Windspiel","Campanella a vento"
🎀,"Ribbon","Cinta","Ruban","Schleife","Fiocco"
🎁,"Wrapped Gift","Regalo envuelto","Cadeau emballé","Geschenk verpackt","Regalo incartato"
🔮,"Crystal Ball","Bola de cristal","Boule de cristal","Kristallkugel","Sfera di cristallo"
🕹,"Joystick","Palanca de mando","Manette de jeu","Joystick","Joystick"
🖼,"Framed Picture","Cuadro enmarcado","Tableau encadré","Gerahmtes Bild","Quadro incorniciato"
📯,"Postal Horn","Cuerno postal","Cor postal","Posthorn","Corno postale"
🎙,"Studio Microphone","Micrófono de estudio","Micro studio","Studiomikrofon","Microfono da studio"
🎚,"Level Slider","Control deslizante de nivel","Curseur de niveau","Pegelschieber","Cursore di livello"
🎛,"Control Knobs","Perillas de control","Boutons de contrôle","Reglerknöpfe","Manopole di controllo"
📻,"Radio","Radio","Radio","Radio","Radio"
📱,"Mobile Phone","Teléfono móvil","Téléphone portable","Handy","Telefono cellulare"
📲,"Mobile Phone With Arrow","Teléfono móvil con flecha","Téléphone portable avec flèche","Handy mit Pfeil","Telefono cellulare con freccia"
☎,"Telephone","Teléfono","Téléphone","Telefon","Telefono"
📞,"Telephone Receiver","Auricular del teléfono","Combiné téléphonique","Telefonhörer","Ricevitore telefonico"
📟,"Pager","Buscapersonas","Pager","Pager","Cercapersone"
📠,"Fax Machine","Máquina de fax","Télécopieur","Faxgerät","Macchina da fax"
🔋,"Battery","Batería","Batterie","Batterie","Batteria"
🔌,"Electric Plug","Enchufe eléctrico","Prise électrique","Stecker","Spina elettrica"
💻,"Laptop Computer","Computadora portátil","Ordinateur portable","Laptop","Computer portatile"
🖥,"Desktop Computer","Computadora de escritorio","Ordinateur de bureau","Desktop-Computer","Computer da scrivania"
🖨,"Printer","Impresora","Imprimante","Drucker","Stampante"
⌨,"Keyboard","Teclado","Clavier","Tastatur","Tastiera"
🖱,"Computer Mouse","Ratón de computadora","Souris d'ordinateur","Computermaus","Mouse del computer"
🖲,"Trackball","Bola de seguimiento","Boule de commande","Trackball","Trackball"
💽,"Computer Disk","Disco de computadora","Disque informatique","Computerdiskette","Disco del computer"
💾,"Floppy Disk","Disquete","Disquette","Diskette","Floppy disk"
💿,"Optical Disk","Disco óptico","Disque optique","Optische Disk","Disco ottico"
📀,"DVD","DVD","DVD","DVD","DVD"
🎥,"Movie Camera","Cámara de cine","Caméra cinématographique","Filmkamera","Cinepresa"
🎞,"Film Frames","Fotogramas de película","Pellicule photo","Filmstreifen","Fotogrammi di pellicola"
📽,"Film Projector","Proyector de cine","Projecteur de cinéma","Filmprojektor","Proiettore cinematografico"
📺,"Television","Televisión","Télévision","Fernseher","Televisione"
📷,"Camera","Cámara","Appareil photo","Kamera","Macchina fotografica"
📸,"Camera With Flash","Cámara con flash","Appareil photo avec flash","Kamera mit Blitz","Macchina fotografica con flash"
📹,"Video Camera","Cámara de video","Caméra vidéo","Videokamera","Videocamera"
📼,"Videocassette","Videocasete","Cassette vidéo","Videokassette","Videocassetta"
🔍,"Magnifying Glass Tilted Left","Lupa inclinada hacia la izquierda","Loupe inclinée vers la gauche","Lupe nach links geneigt","Lente d'ingrandimento inclinata a sinistra"
🔎,"Magnifying Glass Tilted Right","Lupa inclinada hacia la derecha","Loupe inclinée vers la droite","Lupe nach rechts geneigt","Lente d'ingrandimento inclinata a destra"
🕯,"Candle","Vela","Bougie","Kerze","Candela"
💡,"Light Bulb","Bombilla","Ampoule","Glühbirne","Lampadina"
🔦,"Flashlight","Linterna","Lampe de poche","Taschenlampe","Torcia elettrica"
🏮,"Red Paper Lantern","Linterna de papel roja","Lanterne rouge en papier","Rote Papierlaterne","Lanterna di carta rossa"
📔,"Notebook With Decorative Cover","Cuaderno con tapa decorativa","Carnet à couverture décorative","Notizbuch mit dekorativem Umschlag","Taccuino con copertina decorativa"
📕,"Closed Book","Libro cerrado","Livre fermé","Geschlossenes Buch","Libro chiuso"
📖,"Open Book","Libro abierto","Livre ouvert","Offenes Buch","Libro aperto"
📗,"Green Book","Libro verde","Livre vert","Grünes Buch","Libro verde"
📘,"Blue Book","Libro azul","Livre bleu","Blaues Buch","Libro blu"
📙,"Orange Book","Libro naranja","Livre orange","Oranges Buch","Libro arancione"
📚,"Books","Libros","Livres","Bücher","Libri"
📓,"Notebook","Cuaderno","Carnet","Notizbuch","Taccuino"
📃,"Page With Curl","Página con rizo","Page avec boucle","Seite mit Locke","Pagina con arricciatura"
📜,"Scroll","Pergamino","Parchemin","Schriftrolle","Pergamena"
📄,"Page Facing Up","Página hacia arriba","Page orientée vers le haut","Seite nach oben","Pagina rivolta verso l'alto"
📰,"Newspaper","Periódico","Journal","Zeitung","Giornale"
🗞,"Rolled-Up Newspaper","Periódico enrollado","Journal roulé","Zusammengerollte Zeitung","Giornale arrotolato"
📑,"Bookmark Tabs","Separadores","Onglets","Lesezeichen","Segnalibri"
🔖,"Bookmark","Marcador","Signet","Lesezeichen","Segnalibro"
🏷,"Label","Etiqueta","Étiquette","Etikett","Etichetta"
💰,"Money Bag","Bolsa de dinero","Sac d'argent","Geldsack","Borsa di soldi"
💴,"Yen Banknote","Billete de yen","Billet de yen","Yen-Banknote","Banconota da yen"
💵,"Dollar Banknote","Billete de dólar","Billet de dollar","Dollar-Banknote","Banconota da dollaro"
💶,"Euro Banknote","Billete de euro","Billet d'euro","Euro-Banknote","Banconota da euro"
💷,"Pound Banknote","Billete de libra","Billet de livre","Pfund-Banknote","Banconota da sterlina"
💸,"Money With Wings","Dinero con alas","Argent avec des ailes","Geld mit Flügeln","Soldi con le ali"
💳,"Credit Card","Tarjeta de crédito","Carte de crédit","Kreditkarte","Carta di credito"
✉,"Envelope","Sobre","Enveloppe","Briefumschlag","Busta"
📧,"E-Mail","Correo electrónico","E-mail","E-Mail","E-mail"
📨,"Incoming Envelope","Sobre entrante","Enveloppe entrante","Eingangsumschlag","Busta in arrivo"
📩,"Envelope With Arrow","Sobre con flecha","Enveloppe avec flèche","Umschlag mit Pfeil","Busta con freccia"
📤,"Outbox Tray","Bandeja de salida","Bac de sortie","Postausgang","Vassoio in uscita"
📥,"Inbox Tray","Bandeja de entrada","Bac d'entrée","Posteingang","Vassoio in arrivo"
📦,"Package","Paquete","Colis","Paket","Pacco"
📫,"Closed Mailbox With Raised Flag","Buzón cerrado con bandera levantada","Boîte aux lettres fermée avec drapeau levé","Geschlossener Briefkasten mit gehisster Flagge","Cassetta postale chiusa con bandiera alzata"
📪,"Closed Mailbox With Lowered Flag","Buzón cerrado con bandera bajada","Boîte aux lettres fermée avec drapeau baissé","Geschlossener Briefkasten mit gesenkter Flagge","Cassetta postale chiusa con bandiera abbassata"
📬,"Open Mailbox With Raised Flag","Buzón abierto con bandera levantada","Boîte aux lettres ouverte avec drapeau levé","Offener Briefkasten mit gehisster Flagge","Cassetta postale aperta con bandiera alzata"
📭,"Open Mailbox With Lowered Flag","Buzón abierto con bandera bajada","Boîte aux lettres ouverte avec drapeau baissé","Offener Briefkasten mit gesenkter Flagge","Cassetta postale aperta con bandiera abbassata"
📮,"Postbox","Buzón","Boîte aux lettres","Briefkasten","Cassetta postale"
🗳,"Ballot Box With Ballot","Urna con papeleta","Urne avec bulletin","Wahlurne","Urna con scheda elettorale"
✏,"Pencil","Lápiz","Crayon","Bleistift","Matita"
✒,"Black Nib","Plumín","Pointe de plume","Feder","Pennino"
🖋,"Fountain Pen","Pluma estilográfica","Stylo plume","Füllfederhalter","Penna stilografica"
🖊,"Pen","Bolígrafo","Stylo","Kugelschreiber","Penna"
🖌,"Paintbrush","Pincel","Pinceau","Pinsel","Pennello"
🖍,"Crayon","Crayón","Crayon","Buntstift","Pastello"
📝,"Memo","Memorándum","Mémo","Memo","Promemoria"
📁,"File Folder","Carpeta de archivos","Dossier","Aktenordner","Cartella"
📂,"Open File Folder","Carpeta de archivos abierta","Dossier ouvert","Offener Aktenordner","Cartella aperta"
🗂,"Card Index Dividers","Separadores de índice","Séparateurs d'index","Karteireiter","Separatori di indice"
📅,"Calendar","Calendario","Calendrier","Kalender","Calendario"
📆,"Tear-Off Calendar","Calendario de arrancar","Calendrier détachable","Abreißkalender","Calendario a strappo"
🗒,"Spiral Notepad","Bloc de notas en espiral","Bloc-notes à spirale","Spiralblock","Blocco note a spirale"
🗓,"Spiral Calendar","Calendario en espiral","Calendrier en spirale","Spiralkalender","Calendario a spirale"
📇,"Card Index","Fichero","Fichier","Karteikasten","Schedario"
📈,"Chart Increasing","Gráfico en aumento","Graphique croissant","Diagramm steigend","Grafico in aumento"
📉,"Chart Decreasing","Gráfico en disminución","Graphique décroissant","Diagramm fallend","Grafico in diminuzione"
📊,"Bar Chart","Gráfico de barras","Graphique à barres","Balkendiagramm","Grafico a barre"
📋,"Clipboard","Portapapeles","Porte-documents","Klemmbrett","Portablocco"
📌,"Pushpin","Chincheta","Punaise","Reißzwecke","Puntina da disegno"
📍,"Round Pushpin","Chincheta redonda","Punaise ronde","Runde Reißzwecke","Puntina tonda"
📎,"Paperclip","Clip","Trombone","Büroklammer","Graffetta"
🖇,"Linked Paperclips","Clips unidos","Trombones attachés","Verbundene Büroklammern","Graffette collegate"
📏,"Straight Ruler","Regla","Règle","Lineal","Righello"
📐,"Triangular Ruler","Escuadra","Équerre","Geodreieck","Squadra"
✂,"Scissors","Tijeras","Ciseaux","Schere","Forbici"
🗃,"Card File Box","Caja de archivo","Boîte de fichier","Karteikasten","Scatola archivio"
🗄,"File Cabinet","Archivador","Classeur","Aktenschrank","Archivio"
🗑,"Wastebasket","Papelera","Corbeille","Papierkorb","Cestino"
🔒,"Locked","Bloqueado","Verrouillé","Gesperrt","Bloccato"
🔓,"Unlocked","Desbloqueado","Déverrouillé","Entsperrt","Sbloccato"
🔏,"Locked With Pen","Bloqueado con bolígrafo","Verrouillé avec stylo","Mit Stift gesperrt","Bloccato con penna"
🔐,"Locked With Key","Bloqueado con llave","Verrouillé avec clé","Mit Schlüssel gesperrt","Bloccato con chiave"
🔑,"Key","Llave","Clé","Schlüssel","Chiave"
🗝,"Old Key","Llave antigua","Ancienne clé","Alter Schlüssel","Chiave antica"
🔨,"Hammer","Martillo","Marteau","Hammer","Martello"
⛏,"Pick","Pico","Pioche","Spitzhacke","Piccone"
⚒,"Hammer and Pick","Martillo y pico","Marteau et pioche","Hammer und Spitzhacke","Martello e piccone"
🛠,"Hammer and Wrench","Martillo y llave inglesa","Marteau et clé","Hammer und Schraubenschlüssel","Martello e chiave inglese"
🗡,"Dagger","Daga","Dague","Dolch","Pugnale"
⚔,"Crossed Swords","Espadas cruzadas","Épées croisées","Gekreuzte Schwerter","Spade incrociate"
🔫,"Pistol","Pistola","Pistolet","Pistole","Pistola"
🛡,"Shield","Escudo","Bouclier","Schild","Scudo"
🔧,"Wrench","Llave inglesa","Clé","Schraubenschlüssel","Chiave inglese"
🔩,"Nut and Bolt","Tuerca y tornillo","Écrou et boulon","Mutter und Schraube","Dado e bullone"
⚙,"Gear","Engranaje","Engrenage","Zahnrad","Ingranaggio"
🗜,"Clamp","Abrazadera","Pince","Klemme","Morsetto"
⚖,"Balance Scale","Balanza","Balance","Waage","Bilancia"
🔗,"Link","Enlace","Lien","Link","Collegamento"
⛓,"Chains","Cadenas","Chaînes","Ketten","Catene"
⚗,"Alembic","Alambique","Alambic","Destillierkolben","Alambicco"
🔬,"Microscope","Microscopio","Microscope","Mikroskop","Microscopio"
🔭,"Telescope","Telescopio","Télescope","Teleskop","Telescopio"
📡,"Satellite Antenna","Antena satelital","Antenne satellite","Satellitenantenne","Antenna satellitare"
💉,"Syringe","Jeringa","Seringue","Spritze","Siringa"
💊,"Pill","Pastilla","Pilule","Tablette","Pillola"
🚪,"Door","Puerta","Porte","Tür","Porta"
🛏,"Bed","Cama","Lit","Bett","Letto"
🛋,"Couch and Lamp","Sofá y lámpara","Canapé et lampe","Sofa und Lampe","Divano e lampada"
🚽,"Toilet","Baño","Toilettes","Toilette","Bagno"
🚿,"Shower","Ducha","Douche","Dusche","Doccia"
🛁,"Bathtub","Bañera","Baignoire","Badewanne","Vasca da bagno"
🚬,"Cigarette","Cigarrillo","Cigarette","Zigarette","Sigaretta"
⚰,"Coffin","Ataúd","Cercueil","Sarg","Bara"
⚱,"Funeral Urn","Urna funeraria","Urne funéraire","Urne","Urna funeraria"
🗿,"Moai","Moaí","Moai","Moai","Moai"
🚰,"Potable Water","Agua potable","Eau potable","Trinkwasser","Acqua potabile"
👁️‍🗨️,"Eye in Speech Bubble","Ojo en globo de diálogo","Œil dans une bulle de dialogue","Auge in Sprechblase","Occhio in una nuvoletta"
💘,"Heart With Arrow","Corazón con flecha","Cœur avec flèche","Herz mit Pfeil","Cuore con freccia"
❤,"Red Heart","Corazón rojo","Cœur rouge","Rotes Herz","Cuore rosso"
💓,"Beating Heart","Corazón latiendo","Cœur battant","Schlagendes Herz","Cuore che batte"
